,Full Finding Name - English,Report?,Report Section,Sentence Order,Report Sentence,Comment,Approved Localisation Type From Finding Spec,,
abdominal_clips,Abdominal clips,TRUE,Other,4,Surgical clips present in the abdomen.,,N/A,,
biliary_stent,Biliary stent,TRUE,Other,3,Biliary stent in situ.,,N/A,,
distended_bowel,Distended bowel,TRUE,Other,2,Distended bowel loops seen in the imaged upper abdomen.,,N/A,,
gallstones,Gallstones,TRUE,Other,5,Gallstones noted.,,N/A,,
hiatus_hernia,Hiatus hernia,TRUE,Other,6,Hiatus hernia evident.,,N/A,,
subdiaphragmatic_gas,Subdiaphragmatic gas,TRUE,Other,1,Appearances suspicious for pneumoperitoneum.,,N/A,,
dish,Diffuse spinal osteophytes,TRUE,Bones,2,Appearance of diffuse idiopathic skeletal hyperostosis.,,N/A,,
kyphosis,Kyphosis ,TRUE,Bones,4,Thoracic kyphosis is noted.,,N/A,,
osteopaenia,Osteopaenia,TRUE,Bones,5,Vertebrae appear reduced in density.,,N/A,,
spinal_fixation,Spinal fixation,TRUE,Bones,1,Surgical fixation of the spine.,,N/A,,
spine_arthritis,Spinal arthritis,TRUE,Bones,3,Degenerative changes of the spine noted.,,N/A,,
acute_aortic_syndrome,Widened aortic contour,TRUE,Cardiomediastinal,9,Mediastinum is widened.,,N/A,,
aortic_arch_calcification,Aortic arch calcification,TRUE,Cardiomediastinal,10,Thoracic aortic calcification demonstrated.,,N/A,,
aortic_stent,Aortic stent,TRUE,Cardiomediastinal,8,Aortic stent in situ.,,N/A,,
cardiac_valve_prosthesis,Cardiac valve prosthesis,TRUE,Cardiomediastinal,2,Cardiac valve prosthesis in situ.,,N/A,,
cardiomegaly,Widened cardiac silhouette,TRUE,Cardiomediastinal,1,Cardiac silhouette is enlarged.,,N/A,,
coronary_stent,Coronary stent,TRUE,Cardiomediastinal,4,Coronary artery stent visualised.,,N/A,,
electronic_cardiac_devices,Electronic cardiac devices,TRUE,Cardiomediastinal,4,Pacing device present.,,N/A,,
mediastinal_clips,Mediastinal clips,TRUE,Cardiomediastinal,6,Surgical clips project over the mediastinum.,,N/A,,
oesophageal_stent,Oesophageal stent,TRUE,Cardiomediastinal,5,Oesophageal stent in situ.,,N/A,,
sternotomy_wires,Sternotomy wires ,TRUE,Cardiomediastinal,7,Sternotomy wires noted.,,N/A,,
unfolded_aorta,Unfolded aorta,TRUE,Cardiomediastinal,11,Aorta is tortuous.,,N/A,,
airway_stent,Airway stent,TRUE,Lung parenchyma,1,Airways stent present.,,N/A,,
pulmonary_congestion,Pulmonary congestion,TRUE,Lung parenchyma,2,Upper zone venous diversion indicating pulmonary congestion.,,N/A,,
cervical_flexion,Cervical flexion,TRUE,Technical quality ,3,Lung apices partially obscured due to cervical flexion.,,N/A,,
overexposed,Overexposed,TRUE,Technical quality ,1,Overexposure noted,,N/A,,
patient_rotated,Patient rotation,TRUE,Technical quality ,4,Patient rotation noted.,,N/A,,
underinflation,Underinflation,TRUE,Technical quality ,2,Lungs appear underinflated.,,N/A,,
gastric_band,Gastric band,FALSE,Other,,Gastric band present.,Rare finding,N/A,,
acute_clavicle_fracture,Acute clavicle fracture,FALSE,Bones,,An acute fracture is noted in the [right/left/bilateral] clavicle. ,Requires laterality,Laterality,,
acute_humerus_fracture,Acute humerus fracture,FALSE,Bones,,An acute fracture is noted in the [right/left/bilateral] visualised humerus. ,Requires laterality,Laterality,,
acute_rib_fracture,Acute rib fracture,FALSE,Bones,,Acute fracture noted in the [fill in locations] rib.,Requires laterality,Map,,
chronic_clavicle_fracture,Chronic clavicle fracture,FALSE,Bones,,Chronic [right/left/bilateral] clavicle fracture.,Requires laterality,N/A,,
chronic_humerus_fracture,Chronic humerus fracture,FALSE,Bones,,Chronic [right/left/bilateral] humerus fracture.,Requires laterality,N/A,,
chronic_rib_fracture,Chronic rib fracture,FALSE,Bones,,Chronic [right/left/bilateral] rib fracture.,Requires laterality,N/A,,
clavicle_fixation,Clavicle fixation,FALSE,Bones,,Fixation of the [right/left/bilateral] clavicle.,Requires laterality,Laterality,,
clavicle_lesion,Clavicle lesion,FALSE,Bones,,Bony lesion of the [right/left/bilateral] clavicle.,Insufficient description,Map,,
humeral_lesion,Humeral lesion,FALSE,Bones,,Bony lesion of the [right/left/bilateral] humerus.,Insufficient description,Map,,
pectus_carinatum,Pectus carinatum,FALSE,Bones,,Pectus carinatum,"Low value, High prevalence of contradiction",N/A,,
pectus_excavatum,Pectus excavatum,FALSE,Bones,,Pectus excavatum,"Low value, High prevalence of contradiction",N/A,,
rib_fixation,Rib fixation,FALSE,Bones,,Internal rib fixation noted.,Requires laterality,Laterality,,
rib_lesion,Rib lesion,FALSE,Bones,,Bony lesion within the [side and number] rib.,Insufficiently described,Map,,
rib_resection,Rib resection,FALSE,Bones,,Rib deformity in keeping with previous rib resection.,Requires laterality,N/A,,
rotator_cuff_anchor,Rotator cuff anchor,FALSE,Bones,,[Bilateral/right/left] rotator cuff anchors noted. ,Requires laterality,Laterality,,
scapular_fracture,Scapular fracture,FALSE,Bones,,"Fracture of the [bilateral/right/left] scapula, [acute/chronic].",Insufficiently described,Laterality,,
scapular_lesion,Scapular lesion,FALSE,Bones,,Bony lesion within the [bilateral/right/left] scapula.,Insufficiently described,Map,,
scoliosis,Scoliosis ,FALSE,Bones,,"Thoracic spine scoliosis, convex to the [right/left].",Insufficiently described,N/A,,
shoulder_arthritis,Shoulder arthritis,FALSE,Bones,,[Right/left/bilateral] shoulder arthritis.,Requires laterality,N/A,,
shoulder_dislocation,Shoulder dislocation,FALSE,Bones,,[Right/left/bilateral] suspected shoulder dislocation.,Requires laterality,Laterality,,
shoulder_fixation,Shoulder fixation,FALSE,Bones,,Internal fixation [right/left/bilateral] shoulder girdle.,Insufficiently described,Laterality,,
shoulder_replacement,Shoulder replacement,FALSE,Bones,,[Right/left/bilateral] shoulder replacement.,Requires laterality,Laterality,,
spine_lesion,Spinal lesion,FALSE,Bones,,Focal lesion within the [upper/mid/lower] thoracic spine.,Insufficiently described,Map,,
spine_wedge_fracture,Spinal wedge fracture,FALSE,Bones,,Vertebral compression fracture noted.,Insufficiently described,Map,,
calcified_hilar_lymphadenopathy,Calcified hilar lymphadenopathy,FALSE,Cardiomediastinal,,Calcified hilar lymph nodes noted.,Requires laterality,N/A,,
hilar_lymphadenopathy,Hilar lymphadenopathy,FALSE,Cardiomediastinal,,[Bilateral/right/left] hilar enlargement.,Requires laterality,N/A,,
inferior_mediastinal_mass,Inferior mediastinal mass,FALSE,Cardiomediastinal,,Mediastinal masses noted.,Insufficiently described,N/A,,
pericardial_fat_pad,Pericardial fat pad,FALSE,Cardiomediastinal,,Pericardial fat pad noted.,Requires laterality,N/A,,
pneumomediastinum,Pneumomediastinum ,FALSE,Cardiomediastinal,,Pneumomediastinum noted.,Review if we should include this,N/A,,
pulmonary_artery_enlargement,Pulmonary artery enlargement,FALSE,Cardiomediastinal,,Enlarged pulmonary arteries noted.,Requires laterality,N/A,,
superior_mediastinal_mass,Superior mediastinal mass,FALSE,Cardiomediastinal,,Increased density in the superior mediastinum.,Insufficiently described,N/A,,
tracheal_deviation,Tracheal deviation,FALSE,Cardiomediastinal,,Tracheal deviation to the [right/left].,Requires laterality,N/A,,
in_position_cvc,In position Central Line   (CVC) ,FALSE,Lines and Tubes,,"Central line, appropriately sited.",Insufficiently described,Map,,
in_position_ett,In position Endotracheal tube (ETT) ,FALSE,Lines and Tubes,,"The patient is ventilated, with an endotracheal tube within the trachea, appropriately positioned.",Insufficiently described,N/A,,
in_position_ngt,In position Nasogastric tube (NGT) ,FALSE,Lines and Tubes,,n/a,Insufficiently described,Map,,
in_position_pac,In position Pulmonary Arterial Catheter (PAC),FALSE,Lines and Tubes,,"Pulmonary artery catheter in situ, appropriately sited.",Insufficiently described,N/A,,
intercostal_drain,Intercostal drain,FALSE,Lines and Tubes,,Intercostal catheter present.,Insufficiently described,Laterality,,
malpositioned_cvc,Suboptimal Central Line (CVC),FALSE,Lines and Tubes,,"Central line in situ, suboptimally positioned.",Insufficiently described,Map,,
malpositioned_ett,Suboptimal Endotracheal Tube (ETT),FALSE,Lines and Tubes,,"Endotracheal tube present, suboptimally positioned.",Insufficiently described,N/A,,
malpositioned_ngt,Suboptimal Nasogastric Tube (NGT),FALSE,Lines and Tubes,,"Pulmonary artery catheter in situ, with unsatisfactory position.",Insufficiently described,Map,,
malpositioned_pac,Suboptimal Pulmonary Arterial Catheter (PAC),FALSE,Lines and Tubes,,Suboptimal positioning of the pulmonary artery catheter. ,Insufficiently described,N/A,,
bronchiectasis,Bronchiectasis,FALSE,Lung parenchyma,,Dilation of the bronchi which can be localised or diffuse.,Insufficient description,N/A,,
bullae_diffuse,Diffuse bullae,FALSE,lung parenchyma,,Multiple bullae throughout the lungs.,Requires laterality,N/A,,
bullae_lower,Lower zone bullae,FALSE,Lung parenchyma,,Multiple bullae throughout the lungs.,Requires laterality,N/A,,
bullae_upper,Upper zone bullae,FALSE,Lung parenchyma,,Upper zone predominant bullae.,Requires laterality,N/A,,
calcified_granuloma,Calcified granuloma (< 5mm),FALSE,Lung parenchyma,,Calcified granuloma noted [location].,Requires location,N/A,,
calcified_pulmonary_mass,Calcified mass (> 5mm),FALSE,Lung parenchyma,,[Bilateral/right-sided/left-sided] calcified lung lesion.,Insufficient description,Map,,
cavitating_mass,Cavitating mass(es),FALSE,Lung parenchyma,,Cavitating lesion in the [right/left/bilateral] lung.,Insufficient description,Map,,
cavitating_mass_internal_content,Cavitating mass with content,FALSE,Lung parenchyma,,Cavitating lesion in the [right/left/bilateral] lung with fluid level.,Insufficient description,Map,,
diffuse_airspace_opacity,Diffuse airspace opacity,FALSE,Lung parenchyma,,"Diffuse, ill-defined airspace opacity in the [bilateral/right/left] lung.",Requires laterality,Laterality,,
diffuse_lower_airspace_opacity,Diffuse lower airspace opacity,FALSE,Lung parenchyma,,Diffuse ill-defined airspace opacity with a lower zone predominance.,Requires laterality,Laterality,,
diffuse_perihilar_airspace_opacity,Perihilar airspace opacity,FALSE,Lung parenchyma,,Diffuse perihilar airspace opacity.,Requires laterality,Laterality,,
diffuse_upper_airspace_opacity,Diffuse upper airspace opacity,FALSE,Lung parenchyma,,Diffuse ill-defined airspace opacity with an upper zone predominance.,Requires laterality,Laterality,,
hyperinflation,Hyperinflation,FALSE,Lung parenchyma,,Lungs are hyperinflated.,not included due to high occurrence of overcalls,N/A,,
hyperlucency,Reduced lung markings,FALSE,Lung parenchyma,,Reduced lung markings.,not included due to high occurrence of overcalls,N/A,,
interstitial_thickening_diffuse,Diffuse interstitial thickening,FALSE,Lung parenchyma,,Diffuse fibrotic changes with preserved lung volume.,Insufficiently described,Laterality,,
interstitial_thickening_lower,Basal interstitial thickening,FALSE,Lung parenchyma,,Basal predominant reticulations noted without significant volume loss.,Insufficiently described,Laterality,,
interstitial_thickening_upper,Upper interstitial thickening,FALSE,Lung parenchyma,,Upper zone predominant reticular changes without volume loss.,Insufficiently described,Laterality,,
interstitial_thickening_volloss_diffuse,Diffuse fibrotic volume loss,FALSE,Lung parenchyma,,Diffuse fibrotic changes with reduced lung volumes.,Insufficiently described,Laterality,,
interstitial_thickening_volloss_lower,Lower zone fibrotic volume loss,FALSE,Lung parenchyma,,Lower zone predominant fibrotic changes with volume loss.,Insufficiently described,Laterality,,
interstitial_thickening_volloss_upper,Upper zone fibrotic volume loss,FALSE,Lung parenchyma,,Upper zone predominant fibrotic changes with volume loss.,Insufficiently described,Laterality,,
linear_atelectasis,Atelectasis,FALSE,Lung parenchyma,,Atelectasis noted in the [location].,Insufficiently described,Map,,
lung_collapse,Lung collapse,FALSE,Lung parenchyma,,Marked [right/left/bilateral] lung collapse.,Insufficiently described,Laterality,,
lung_resection_volloss,Post resection volume loss,FALSE,Lung parenchyma,,"Reduced lung volume, previous resection noted.",Insufficiently described,Laterality,,
lung_sutures,Lung sutures,FALSE,Lung parenchyma,,Lung sutures noted [bilateral/right/left] lung.,Insufficiently described,N/A,,
miliary,"Diffuse nodular /
miliary lesions",FALSE,Lung parenchyma,,Diffuse tiny lung opacities noted.,Requires laterality,Laterality,,
multifocal_airspace_opacity,Multifocal airspace opacity,FALSE,Lung parenchyma,,Multifocal airspace opacities in the [bilateral/right/left] lung.,Insufficiently described,Map,,
multiple_pulmonary_masses,Multiple masses or nodules,FALSE,Lung parenchyma,,Multiple lung lesions noted in the [bilateral/right/left] lung.,Insufficiently described,Map,,
peribronchial_cuffing,Peribronchial cuffing,FALSE,Lung parenchyma,,Peribronchial cuffing noted.,Insufficiently described,N/A,,
segmental_collapse,Segmental collapse,FALSE,Lung parenchyma,,[Bilateral / right / left] [upper  / middle / lower] zone collapse. ,Insufficiently described,Map,,
single_pulmonary_mass,Solitary lung mass,FALSE,Lung parenchyma,,Focal well defined mass in the [right/left][upper/lower] zone measuring [xxx].,Insufficiently described,Map,,
single_pulmonary_nodule,Solitary lung nodule,FALSE,Lung parenchyma,,Focal well defined nodule in the [right/left] [upper/lower] zone measuring [xxx].,Insufficiently described,Map,,
axillary_clips,Axillary clips,FALSE,Other,,[Bilateral/right/left] axillary clips are noted.,Requires laterality,Laterality,,
breast_implant,Breast implant,FALSE,Other,,[Bilateral/right/left] breast implant noted.,Requires laterality,N/A,,
calcified_axillary_nodes,Calcified axillary nodes,FALSE,Other,,Calcified foci in the [bilateral/right/left] axilla suggesting calcified nodes.,Requires laterality,N/A,,
calcified_neck_nodes,Calcified neck nodes,FALSE,Other,,"Calcified density in the neck, suggestive of calcified nodes.",Requires laterality,N/A,,
diaphragmatic_elevation,Diaphragmatic elevation,FALSE,Other,,Raised [right/left/bilateral] diaphragm.,Requires laterality,N/A,,
diaphragmatic_eventration,Diaphragmatic eventration,FALSE,Other,,Diaphragm eventration noted.,Requires laterality,N/A,,
internal_foreign_body,Internal foreign body,FALSE,Other,,Foreign body noted. ,Insufficiently described,Map,,
malpositioned_gastric_band,Suboptimal gastric band,FALSE,Other,,n/a,Insufficiently described,N/A,,
mastectomy,Mastectomy,FALSE,Other,,[Bilateral/right/left] mastectomy noted.,Requires laterality,N/A,,
neck_clips,Neck clips,FALSE,Other,,Surgical clips in the neck.,Requires laterality,Laterality,,
nipple_shadow,Nipple shadow,FALSE,Other,,Opacity in lower zone suspected to represent a nipple shadow.,Requires laterality,N/A,,
subcutaneous_emphysema,Subcutaneous emphysema,FALSE,Other,,[Right/left/bilateral] subcutaneous emphysema.,Insufficiently described,Laterality,,
calcified_pleural_plaque,Calcified pleural plaques,FALSE,Pleural Space,,Calcified pleural plaques.,Requires laterality,N/A,,
diffuse_pleural_thickening,Diffuse pleural thickening,FALSE,Pleural Space,,Diffuse [bilateral/right/left] pleural thickening.,Insufficient description,N/A,,
focal_airspace_opacity,Focal airspace opacity,FALSE,Lung Parenchyma,,Focal airspace opacity in the [right/left] [upper/mid/lower] zone.,Insufficient description,Map,,
loculated_effusion,Loculated effusion,FALSE,Pleural Space,,Loculated pleural effusion.,Insufficiently described,Map,,
pleural_mass,Pleural mass,FALSE,Pleural Space,,Focal [right/left] pleural thickening/mass.,Insufficiently described,Map,,
simple_effusion,Simple effusion,FALSE,Pleural Space,,[Bilateral/right/left] pleural effusion.,Insufficiently described,Map,,
simple_pneumothorax,Simple pneumothorax,FALSE,Pleural Space,,[Bilateral/right/left] pneumothorax.,Insufficiently described,Map,,
tension_pneumothorax,Tension pneumothorax,FALSE,Pleural Space,,[Bilateral/right/left] pneumothorax with features of tension.,Insufficiently described,Map,,
image_obscured,Image obscured,FALSE,Technical quality ,,{No sentence generated},Insufficient description,N/A,,
incompletely_imaged,Incompletely imaged chest,FALSE,Technical quality ,,The lungs are incompletely imaged. {No sentence generated},Requires location,N/A,,
underexposed,Underexposed,FALSE,Technical quality ,,Underexposure noted.,Rare finding,N/A,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
